date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-02-14,273302445.802,11994.0,394511000.0,15.37,24859900.0,31150.0,23.5153991,
2014-02-15,79691905.76,10060.0,422930000.0,16.45,3971300.0,33200.0,19.98302366,
2014-02-16,144452217.676,11249.0,414206000.0,16.09,7650140.0,35400.0,19.96557391,
2014-02-17,77412853.1156,11259.0,390157000.0,15.14,5834890.0,34100.0,17.82869676,
2014-02-18,96749106.8953,9990.0,399311000.0,15.47,2986580.0,24500.0,15.62041945,
2014-02-19,314198493.642,9539.0,401899000.0,15.56,2741110.0,24350.0,18.140382,
2014-02-20,118887666.566,10421.0,406015000.0,15.7,9196220.0,26300.0,17.82969413,
2014-02-21,233398997.736,10701.0,361895000.0,13.98,7258070.0,28600.0,19.1724438099,
2014-02-22,26707770.6314,10428.0,360619000.0,13.92,6373580.0,32750.0,16.39499421,
2014-02-23,57986009.1178,10946.0,388743000.0,14.98,8169300.0,32950.0,19.93598527,
2014-02-24,53546473.3135,10494.0,400579000.0,15.42,7749270.0,33650.0,15.96481274,
2014-02-25,143757792.993,11714.0,377145000.0,14.5,23785700.0,28500.0,25.7566738099,
2014-02-26,34149079.6766,10245.0,359410000.0,13.8,11189500.0,27500.0,24.064773,
2014-02-27,45692198.1874,9873.0,371645000.0,14.26,3859700.0,26500.0,21.58509755,
2014-02-28,41262666.6699,9713.0,372792000.0,14.29,6549690.0,30100.0,20.77155518,
2014-03-01,41103267.3696,9064.0,345571000.0,13.23,3267220.0,31050.0,15.45613603,
2014-03-02,29907925.4615,9810.0,357177000.0,13.66,3812480.0,34950.0,14.72886225,
2014-03-03,122736887.326,11869.0,334685000.0,12.78,17573800.0,30300.0,113.58638586,
2014-03-04,304707639.794,16842.0,374656000.0,14.29,47109100.0,28600.0,54.14740966,
2014-03-05,174420054.575,11680.0,446077000.0,16.99,11390300.0,33750.0,31.2781695899,
2014-03-06,98679817.5941,11484.0,430457000.0,16.38,8044810.0,33100.0,25.80443416,
2014-03-07,61654458.7873,10512.0,433783000.0,16.48,6222120.0,32800.0,23.38758894,
2014-03-08,67418340.5563,10039.0,417867000.0,15.86,5923750.0,34600.0,20.3953288301,
2014-03-09,70150124.1465,9806.0,406495000.0,15.41,6666580.0,34450.0,30.05480041,
2014-03-10,47900797.9464,9411.0,422208000.0,15.98,5340680.0,27100.0,16.7184432,
2014-03-11,36662649.8066,9134.0,423295000.0,16.01,3714800.0,27600.0,19.36773399,
2014-03-12,66271826.6117,12063.0,426302000.0,16.1,12417500.0,32050.0,22.54599346,
2014-03-13,22024288.7426,10433.0,454839000.0,17.16,4116820.0,30000.0,18.09383495,
2014-03-14,28895283.3267,10314.0,451061000.0,17.0,4006980.0,32450.0,21.30526859,
2014-03-15,45599534.431,11181.0,441064000.0,16.6,3080560.0,31600.0,16.3978079199,
2014-03-16,72043287.7371,10995.0,449390000.0,16.89,5627180.0,30750.0,12.29555107,
2014-03-17,139002365.785,11649.0,461913000.0,17.35,6764140.0,29000.0,14.70216967,
2014-03-18,127389174.384,18339.0,461066000.0,17.29,28101700.0,33600.0,27.06054503,
2014-03-19,442761732.108,20871.0,519293000.0,19.45,35045000.0,34550.0,35.89742971,
2014-03-20,305118557.891,12104.0,458814000.0,17.17,15946500.0,28250.0,15.8935223702,
2014-03-21,201374894.869,12159.0,438842000.0,16.4,18958100.0,27550.0,15.97091343,
2014-03-22,89993834.8552,9542.0,418879000.0,15.64,6305450.0,31400.0,10.75959253,
2014-03-23,68747844.2565,9102.0,421272000.0,15.71,2493740.0,27400.0,17.7447257,
2014-03-24,88408986.1204,10423.0,410593000.0,15.3,8181220.0,25400.0,12.62171138,
2014-03-25,63848351.6448,9595.0,435960000.0,16.23,6448800.0,27050.0,11.53898973,
2014-03-26,84288564.5852,11401.0,438103000.0,16.29,7946950.0,28350.0,12.9541051,
2014-03-27,481219931.647,10909.0,438305000.0,16.28,25956800.0,30250.0,20.4501451599,
2014-03-28,90106182.3439,10766.0,341235000.0,12.66,20549800.0,31400.0,12.93098908,
2014-03-29,31827498.0048,8420.0,375303000.0,13.91,3442020.0,28150.0,11.97962382,
2014-03-30,56651515.3107,8639.0,363232000.0,13.45,10933600.0,28050.0,11.55763401,
2014-03-31,68072820.0202,10340.0,355481000.0,13.15,7248790.0,28350.0,15.10103902,
2014-04-01,46200056.201,9404.0,345810000.0,12.77,7346120.0,29650.0,15.15968211,
2014-04-02,90029121.6812,10726.0,354825000.0,13.09,14966900.0,31500.0,15.36475458,
